date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,8,-1,0.0,5.8,2,1,26,12:38 PM,11:15 PM,09:16 AM,05:51 PM,-2,-1,1,-1,9,2,78,0.0,1033,-0,10,195,4
2019-12-31 03:00:00,8,-1,0.0,5.8,2,1,26,12:38 PM,11:15 PM,09:16 AM,05:51 PM,-2,1,2,1,9,2,75,0.0,1033,2,10,191,4
2019-12-31 06:00:00,8,-1,0.0,5.8,2,1,26,12:38 PM,11:15 PM,09:16 AM,05:51 PM,-4,0,1,0,7,22,73,0.0,1033,1,10,177,3
2019-12-31 09:00:00,8,-1,0.0,5.8,2,2,26,12:38 PM,11:15 PM,09:16 AM,05:51 PM,-3,3,3,3,4,12,67,0.0,1032,3,10,168,2
2019-12-31 12:00:00,8,-1,0.0,5.8,2,3,26,12:38 PM,11:15 PM,09:16 AM,05:51 PM,-1,7,7,7,4,22,60,0.0,1032,7,10,283,3
2019-12-31 15:00:00,8,-1,0.0,5.8,2,3,26,12:38 PM,11:15 PM,09:16 AM,05:51 PM,1,6,6,6,4,12,69,0.0,1031,6,10,151,3
2019-12-31 18:00:00,8,-1,0.0,5.8,2,2,26,12:38 PM,11:15 PM,09:16 AM,05:51 PM,-1,3,3,3,4,5,80,0.0,1032,3,10,76,2
2019-12-31 21:00:00,8,-1,0.0,5.8,2,1,26,12:38 PM,11:15 PM,09:16 AM,05:51 PM,-3,-0,-0,-0,5,69,83,0.0,1032,-0,10,96,2
2020-01-01 00:00:00,8,-1,0.0,5.8,1,1,37,01:00 PM,No moonset,09:16 AM,05:52 PM,-3,-1,-1,-1,4,45,83,0.0,1032,-1,10,76,2
2020-01-01 03:00:00,8,-1,0.0,5.8,1,1,37,01:00 PM,No moonset,09:16 AM,05:52 PM,-3,0,0,0,1,6,81,0.0,1032,0,10,146,1
2020-01-01 06:00:00,8,-1,0.0,5.8,1,1,37,01:00 PM,No moonset,09:16 AM,05:52 PM,-3,-0,-0,-0,2,0,82,0.0,1032,-0,10,168,1
2020-01-01 09:00:00,8,-1,0.0,5.8,1,2,37,01:00 PM,No moonset,09:16 AM,05:52 PM,-2,2,2,2,2,0,76,0.0,1032,2,10,200,1
2020-01-01 12:00:00,8,-1,0.0,5.8,1,3,37,01:00 PM,No moonset,09:16 AM,05:52 PM,0,6,6,6,2,0,66,0.0,1031,6,10,294,1
2020-01-01 15:00:00,8,-1,0.0,5.8,1,3,37,01:00 PM,No moonset,09:16 AM,05:52 PM,1,6,6,6,2,0,73,0.0,1031,6,10,341,1
2020-01-01 18:00:00,8,-1,0.0,5.8,1,2,37,01:00 PM,No moonset,09:16 AM,05:52 PM,0,3,3,3,4,0,83,0.0,1032,3,10,231,2
2020-01-01 21:00:00,8,-1,0.0,5.8,1,1,37,01:00 PM,No moonset,09:16 AM,05:52 PM,-1,2,2,2,5,0,86,0.0,1032,2,10,182,3
2020-01-02 00:00:00,8,0,0.0,5.8,2,1,44,01:21 PM,12:17 AM,09:16 AM,05:53 PM,-1,0,1,0,7,0,85,0.0,1033,1,10,188,4
2020-01-02 03:00:00,8,0,0.0,5.8,2,1,44,01:21 PM,12:17 AM,09:16 AM,05:53 PM,-2,-1,1,-1,9,0,81,0.0,1033,1,10,191,4
2020-01-02 06:00:00,8,0,0.0,5.8,2,1,44,01:21 PM,12:17 AM,09:16 AM,05:53 PM,-4,-1,0,-1,9,0,76,0.0,1032,0,10,178,4
2020-01-02 09:00:00,8,0,0.0,5.8,2,2,44,01:21 PM,12:17 AM,09:16 AM,05:53 PM,-4,1,2,1,6,2,66,0.0,1032,2,10,192,3
2020-01-02 12:00:00,8,0,0.0,5.8,2,3,44,01:21 PM,12:17 AM,09:16 AM,05:53 PM,-2,6,6,6,4,4,57,0.0,1030,6,10,260,3
2020-01-02 15:00:00,8,0,0.0,5.8,2,3,44,01:21 PM,12:17 AM,09:16 AM,05:53 PM,-1,5,5,5,4,3,66,0.0,1029,5,10,242,3
2020-01-02 18:00:00,8,0,0.0,5.8,2,2,44,01:21 PM,12:17 AM,09:16 AM,05:53 PM,-1,1,2,1,8,3,78,0.0,1030,2,10,191,4
2020-01-02 21:00:00,8,0,0.0,5.8,2,1,44,01:21 PM,12:17 AM,09:16 AM,05:53 PM,-3,-1,1,-1,10,34,80,0.0,1030,1,10,175,5
2020-01-03 00:00:00,8,0,0.0,3.9,2,1,51,01:41 PM,01:20 AM,09:16 AM,05:53 PM,-3,-1,0,-1,8,81,78,0.0,1030,0,10,185,4
2020-01-03 03:00:00,8,0,0.0,3.9,2,1,51,01:41 PM,01:20 AM,09:16 AM,05:53 PM,-4,-1,1,-1,8,99,74,0.0,1028,1,10,188,4
2020-01-03 06:00:00,8,0,0.0,3.9,2,1,51,01:41 PM,01:20 AM,09:16 AM,05:53 PM,-4,-1,1,-1,10,100,71,0.0,1028,1,10,179,5
2020-01-03 09:00:00,8,0,0.0,3.9,2,1,51,01:41 PM,01:20 AM,09:16 AM,05:53 PM,-2,2,3,2,9,65,69,0.0,1027,3,10,197,4
2020-01-03 12:00:00,8,0,0.0,3.9,2,3,51,01:41 PM,01:20 AM,09:16 AM,05:53 PM,1,6,7,6,9,83,67,0.0,1027,7,10,237,6
2020-01-03 15:00:00,8,0,0.0,3.9,2,2,51,01:41 PM,01:20 AM,09:16 AM,05:53 PM,2,5,6,5,13,54,75,0.0,1027,6,10,222,7
2020-01-03 18:00:00,8,0,0.0,3.9,2,2,51,01:41 PM,01:20 AM,09:16 AM,05:53 PM,2,2,4,2,15,59,85,0.1,1029,4,10,207,7
2020-01-03 21:00:00,8,0,0.0,3.9,2,1,51,01:41 PM,01:20 AM,09:16 AM,05:53 PM,2,1,3,1,14,59,93,0.4,1031,3,7,195,7
2020-01-04 00:00:00,8,0,0.0,2.1,2,1,59,02:01 PM,02:22 AM,09:16 AM,05:54 PM,1,0,2,0,13,77,94,0.4,1031,2,5,180,6
2020-01-04 03:00:00,8,0,0.0,2.1,2,1,59,02:01 PM,02:22 AM,09:16 AM,05:54 PM,2,1,3,1,11,96,95,0.4,1031,3,3,198,6
2020-01-04 06:00:00,8,0,0.0,2.1,2,1,59,02:01 PM,02:22 AM,09:16 AM,05:54 PM,3,2,3,2,10,100,95,0.4,1032,3,2,194,5
2020-01-04 09:00:00,8,0,0.0,2.1,2,1,59,02:01 PM,02:22 AM,09:16 AM,05:54 PM,4,4,5,4,6,87,94,0.3,1033,5,2,201,4
2020-01-04 12:00:00,8,0,0.0,2.1,2,2,59,02:01 PM,02:22 AM,09:16 AM,05:54 PM,5,7,7,7,5,74,89,0.3,1033,7,4,295,4
2020-01-04 15:00:00,8,0,0.0,2.1,2,2,59,02:01 PM,02:22 AM,09:16 AM,05:54 PM,5,6,6,6,5,76,89,0.2,1032,6,8,124,4
2020-01-04 18:00:00,8,0,0.0,2.1,2,1,59,02:01 PM,02:22 AM,09:16 AM,05:54 PM,2,3,3,3,5,62,92,0.1,1034,3,10,31,3
2020-01-04 21:00:00,8,0,0.0,2.1,2,1,59,02:01 PM,02:22 AM,09:16 AM,05:54 PM,-0,1,1,1,5,27,94,0.0,1035,1,5,42,3
2020-01-05 00:00:00,5,-2,0.0,5.8,1,1,66,02:23 PM,03:26 AM,09:16 AM,05:56 PM,-1,-1,-0,-1,7,14,94,0.0,1036,-0,2,44,4
2020-01-05 03:00:00,5,-2,0.0,5.8,1,1,66,02:23 PM,03:26 AM,09:16 AM,05:56 PM,-2,-3,-1,-3,10,28,95,0.0,1036,-1,2,40,5
2020-01-05 06:00:00,5,-2,0.0,5.8,1,1,66,02:23 PM,03:26 AM,09:16 AM,05:56 PM,-2,-4,-2,-4,10,33,96,0.0,1036,-2,2,51,5
2020-01-05 09:00:00,5,-2,0.0,5.8,1,1,66,02:23 PM,03:26 AM,09:16 AM,05:56 PM,-1,-1,0,-1,8,14,88,0.0,1035,0,7,55,5
2020-01-05 12:00:00,5,-2,0.0,5.8,1,2,66,02:23 PM,03:26 AM,09:16 AM,05:56 PM,-0,1,4,1,10,4,75,0.0,1034,4,10,43,9
2020-01-05 15:00:00,5,-2,0.0,5.8,1,2,66,02:23 PM,03:26 AM,09:16 AM,05:56 PM,0,1,4,1,12,4,79,0.0,1033,4,10,44,10
2020-01-05 18:00:00,5,-2,0.0,5.8,1,2,66,02:23 PM,03:26 AM,09:16 AM,05:56 PM,-1,-2,1,-2,12,13,90,0.0,1033,1,10,57,7
2020-01-05 21:00:00,5,-2,0.0,5.8,1,1,66,02:23 PM,03:26 AM,09:16 AM,05:56 PM,-2,-2,-1,-2,8,10,91,0.0,1033,-1,10,60,4
2020-01-06 00:00:00,10,-2,0.0,5.8,2,1,73,02:49 PM,04:31 AM,09:15 AM,05:57 PM,-2,0,0,0,3,3,88,0.0,1033,0,10,108,1
2020-01-06 03:00:00,10,-2,0.0,5.8,2,1,73,02:49 PM,04:31 AM,09:15 AM,05:57 PM,-2,-0,-0,-0,3,2,86,0.0,1031,-0,10,189,1
2020-01-06 06:00:00,10,-2,0.0,5.8,2,1,73,02:49 PM,04:31 AM,09:15 AM,05:57 PM,-4,-2,-1,-2,6,9,81,0.0,1031,-1,10,187,3
2020-01-06 09:00:00,10,-2,0.0,5.8,2,2,73,02:49 PM,04:31 AM,09:15 AM,05:57 PM,-3,2,2,2,5,4,71,0.0,1030,2,10,210,3
2020-01-06 12:00:00,10,-2,0.0,5.8,2,3,73,02:49 PM,04:31 AM,09:15 AM,05:57 PM,0,8,8,8,3,0,58,0.0,1029,8,10,244,3
2020-01-06 15:00:00,10,-2,0.0,5.8,2,3,73,02:49 PM,04:31 AM,09:15 AM,05:57 PM,1,7,7,7,4,0,67,0.0,1027,7,10,247,3
2020-01-06 18:00:00,10,-2,0.0,5.8,2,2,73,02:49 PM,04:31 AM,09:15 AM,05:57 PM,0,3,4,3,9,0,78,0.0,1028,4,10,206,5
2020-01-06 21:00:00,10,-2,0.0,5.8,2,1,73,02:49 PM,04:31 AM,09:15 AM,05:57 PM,-2,0,2,0,12,1,78,0.0,1029,2,10,190,6
2020-01-07 00:00:00,9,-0,0.0,5.8,2,1,80,03:19 PM,05:39 AM,09:15 AM,05:58 PM,-3,-0,1,-0,12,1,75,0.0,1030,1,10,191,6
2020-01-07 03:00:00,9,-0,0.0,5.8,2,1,80,03:19 PM,05:39 AM,09:15 AM,05:58 PM,-3,-1,1,-1,11,2,74,0.0,1029,1,10,192,5
2020-01-07 06:00:00,9,-0,0.0,5.8,2,1,80,03:19 PM,05:39 AM,09:15 AM,05:58 PM,-3,-0,2,-0,13,32,72,0.0,1030,2,10,188,6
2020-01-07 09:00:00,9,-0,0.0,5.8,2,2,80,03:19 PM,05:39 AM,09:15 AM,05:58 PM,-1,3,4,3,7,35,71,0.0,1031,4,10,186,4
2020-01-07 12:00:00,9,-0,0.0,5.8,2,3,80,03:19 PM,05:39 AM,09:15 AM,05:58 PM,2,7,7,7,3,17,67,0.0,1031,7,10,250,2
2020-01-07 15:00:00,9,-0,0.0,5.8,2,3,80,03:19 PM,05:39 AM,09:15 AM,05:58 PM,3,6,6,6,3,20,79,0.0,1030,6,10,109,2
2020-01-07 18:00:00,9,-0,0.0,5.8,2,2,80,03:19 PM,05:39 AM,09:15 AM,05:58 PM,1,3,3,3,5,13,89,0.0,1030,3,10,60,3
2020-01-07 21:00:00,9,-0,0.0,5.8,2,1,80,03:19 PM,05:39 AM,09:15 AM,05:58 PM,-1,0,0,0,6,7,91,0.0,1031,0,10,109,3
2020-01-08 00:00:00,9,-2,0.0,5.8,2,1,88,03:57 PM,06:47 AM,09:15 AM,05:59 PM,-2,-1,-0,-1,7,5,88,0.0,1032,-0,10,150,3
2020-01-08 03:00:00,9,-2,0.0,5.8,2,1,88,03:57 PM,06:47 AM,09:15 AM,05:59 PM,-4,-2,-0,-2,9,5,78,0.0,1032,-0,10,183,4
2020-01-08 06:00:00,9,-2,0.0,5.8,2,1,88,03:57 PM,06:47 AM,09:15 AM,05:59 PM,-6,-3,-1,-3,11,11,70,0.0,1032,-1,10,188,5
2020-01-08 09:00:00,9,-2,0.0,5.8,2,2,88,03:57 PM,06:47 AM,09:15 AM,05:59 PM,-5,-0,1,-0,9,12,61,0.0,1031,1,10,187,5
2020-01-08 12:00:00,9,-2,0.0,5.8,2,3,88,03:57 PM,06:47 AM,09:15 AM,05:59 PM,-3,6,7,6,5,10,52,0.0,1030,7,10,225,3
2020-01-08 15:00:00,9,-2,0.0,5.8,2,3,88,03:57 PM,06:47 AM,09:15 AM,05:59 PM,-1,6,6,6,6,18,58,0.0,1030,6,10,211,3
2020-01-08 18:00:00,9,-2,0.0,5.8,2,2,88,03:57 PM,06:47 AM,09:15 AM,05:59 PM,-3,2,3,2,9,37,63,0.0,1030,3,10,185,4
2020-01-08 21:00:00,9,-2,0.0,5.8,2,1,88,03:57 PM,06:47 AM,09:15 AM,05:59 PM,-4,-1,1,-1,11,49,59,0.0,1030,-1,10,178,5
2020-01-09 00:00:00,10,2,0.0,8.7,3,1,95,04:44 PM,07:54 AM,09:15 AM,06:00 PM,-4,1,3,1,10,51,57,0.0,1029,2,10,193,5
2020-01-09 03:00:00,10,2,0.0,8.7,3,1,95,04:44 PM,07:54 AM,09:15 AM,06:00 PM,-6,1,2,1,11,31,56,0.0,1027,2,10,188,5
2020-01-09 06:00:00,10,2,0.0,8.7,3,1,95,04:44 PM,07:54 AM,09:15 AM,06:00 PM,-6,0,2,0,10,24,57,0.0,1026,2,10,188,5
2020-01-09 09:00:00,10,2,0.0,8.7,3,2,95,04:44 PM,07:54 AM,09:15 AM,06:00 PM,-4,2,3,2,9,15,59,0.0,1025,3,10,205,4
2020-01-09 12:00:00,10,2,0.0,8.7,3,3,95,04:44 PM,07:54 AM,09:15 AM,06:00 PM,-1,8,8,8,5,9,56,0.0,1023,8,10,253,4
2020-01-09 15:00:00,10,2,0.0,8.7,3,3,95,04:44 PM,07:54 AM,09:15 AM,06:00 PM,1,8,7,8,6,6,64,0.0,1021,7,10,216,3
2020-01-09 18:00:00,10,2,0.0,8.7,3,2,95,04:44 PM,07:54 AM,09:15 AM,06:00 PM,-0,3,4,3,11,7,74,0.0,1021,4,10,179,5
2020-01-09 21:00:00,10,2,0.0,8.7,3,1,95,04:44 PM,07:54 AM,09:15 AM,06:00 PM,-1,1,3,1,12,7,76,0.0,1020,3,10,184,6
2020-01-10 00:00:00,8,1,0.0,6.9,2,1,100,05:42 PM,08:57 AM,09:14 AM,06:01 PM,-2,1,2,1,13,52,76,0.0,1021,2,10,220,6
2020-01-10 03:00:00,8,1,0.0,6.9,2,1,100,05:42 PM,08:57 AM,09:14 AM,06:01 PM,0,-1,3,-1,26,72,83,0.4,1023,3,9,237,13
2020-01-10 06:00:00,8,1,0.0,6.9,2,1,100,05:42 PM,08:57 AM,09:14 AM,06:01 PM,-1,-1,2,-1,21,73,85,0.2,1023,2,10,210,10
2020-01-10 09:00:00,8,1,0.0,6.9,2,1,100,05:42 PM,08:57 AM,09:14 AM,06:01 PM,-0,1,3,1,13,46,83,0.0,1023,3,10,208,7
2020-01-10 12:00:00,8,1,0.0,6.9,2,3,100,05:42 PM,08:57 AM,09:14 AM,06:01 PM,3,4,7,4,17,56,76,0.0,1024,7,10,232,13
2020-01-10 15:00:00,8,1,0.0,6.9,2,2,100,05:42 PM,08:57 AM,09:14 AM,06:01 PM,4,5,7,5,15,59,80,0.1,1025,7,10,242,12
2020-01-10 18:00:00,8,1,0.0,6.9,2,1,100,05:42 PM,08:57 AM,09:14 AM,06:01 PM,3,4,5,4,9,67,91,0.1,1028,5,5,215,6
2020-01-10 21:00:00,8,1,0.0,6.9,2,1,100,05:42 PM,08:57 AM,09:14 AM,06:01 PM,3,1,4,1,5,91,92,0.0,1030,2,7,180,3
2020-01-11 00:00:00,6,-0,0.0,8.7,1,1,100,06:50 PM,09:52 AM,09:14 AM,06:02 PM,2,2,3,2,3,90,91,0.0,1032,2,10,140,2
2020-01-11 03:00:00,6,-0,0.0,8.7,1,1,100,06:50 PM,09:52 AM,09:14 AM,06:02 PM,1,1,2,1,6,76,95,0.0,1033,2,5,68,3
2020-01-11 06:00:00,6,-0,0.0,8.7,1,1,100,06:50 PM,09:52 AM,09:14 AM,06:02 PM,-0,-1,0,-1,8,42,96,0.0,1033,0,2,57,4
2020-01-11 09:00:00,6,-0,0.0,8.7,1,1,100,06:50 PM,09:52 AM,09:14 AM,06:02 PM,1,1,2,1,5,27,91,0.0,1033,2,7,71,4
2020-01-11 12:00:00,6,-0,0.0,8.7,1,3,100,06:50 PM,09:52 AM,09:14 AM,06:02 PM,2,4,5,4,7,25,80,0.0,1032,5,10,56,6
2020-01-11 15:00:00,6,-0,0.0,8.7,1,3,100,06:50 PM,09:52 AM,09:14 AM,06:02 PM,3,4,6,4,8,34,82,0.0,1031,6,10,39,6
2020-01-11 18:00:00,6,-0,0.0,8.7,1,2,100,06:50 PM,09:52 AM,09:14 AM,06:02 PM,0,2,2,2,4,19,89,0.0,1031,2,10,88,3
2020-01-11 21:00:00,6,-0,0.0,8.7,1,1,100,06:50 PM,09:52 AM,09:14 AM,06:02 PM,-2,-0,-0,-0,5,6,88,0.0,1031,-0,10,152,3
2020-01-12 00:00:00,8,-1,0.0,5.1,2,1,83,08:05 PM,10:37 AM,09:13 AM,06:04 PM,-3,-2,-1,-2,7,13,83,0.0,1031,-1,10,187,3
2020-01-12 03:00:00,8,-1,0.0,5.1,2,1,83,08:05 PM,10:37 AM,09:13 AM,06:04 PM,-4,-2,-1,-2,7,17,79,0.0,1030,-1,10,212,3
2020-01-12 06:00:00,8,-1,0.0,5.1,2,1,83,08:05 PM,10:37 AM,09:13 AM,06:04 PM,-5,-2,-1,-2,8,10,74,0.0,1030,-1,10,203,4
2020-01-12 09:00:00,8,-1,0.0,5.1,2,2,83,08:05 PM,10:37 AM,09:13 AM,06:04 PM,-4,1,2,1,6,13,64,0.0,1030,2,10,215,4
2020-01-12 12:00:00,8,-1,0.0,5.1,2,3,83,08:05 PM,10:37 AM,09:13 AM,06:04 PM,-2,6,6,6,5,29,55,0.0,1028,6,10,249,5
2020-01-12 15:00:00,8,-1,0.0,5.1,2,3,83,08:05 PM,10:37 AM,09:13 AM,06:04 PM,0,6,6,6,4,78,65,0.0,1027,6,10,247,3
2020-01-12 18:00:00,8,-1,0.0,5.1,2,1,83,08:05 PM,10:37 AM,09:13 AM,06:04 PM,-2,2,3,2,8,100,71,0.0,1028,3,10,194,4
2020-01-12 21:00:00,8,-1,0.0,5.1,2,1,83,08:05 PM,10:37 AM,09:13 AM,06:04 PM,-5,-1,1,-1,9,100,68,0.0,1028,1,10,174,4
2020-01-13 00:00:00,7,-3,0.0,8.7,1,1,76,09:24 PM,11:15 AM,09:13 AM,06:05 PM,-6,-2,0,-2,10,53,65,0.0,1028,0,10,178,5
2020-01-13 03:00:00,7,-3,0.0,8.7,1,1,76,09:24 PM,11:15 AM,09:13 AM,06:05 PM,-7,-2,-1,-2,8,23,64,0.0,1027,-1,10,180,4
2020-01-13 06:00:00,7,-3,0.0,8.7,1,1,76,09:24 PM,11:15 AM,09:13 AM,06:05 PM,-8,-2,-1,-2,8,73,61,0.0,1026,-1,10,181,4
2020-01-13 09:00:00,7,-3,0.0,8.7,1,1,76,09:24 PM,11:15 AM,09:13 AM,06:05 PM,-7,-0,1,-0,8,100,56,0.0,1025,1,10,186,4
2020-01-13 12:00:00,7,-3,0.0,8.7,1,2,76,09:24 PM,11:15 AM,09:13 AM,06:05 PM,-4,5,6,5,4,43,51,0.0,1023,6,10,267,3
2020-01-13 15:00:00,7,-3,0.0,8.7,1,3,76,09:24 PM,11:15 AM,09:13 AM,06:05 PM,-1,6,6,6,3,7,61,0.0,1021,6,10,242,2
2020-01-13 18:00:00,7,-3,0.0,8.7,1,2,76,09:24 PM,11:15 AM,09:13 AM,06:05 PM,-3,1,2,1,9,3,70,0.0,1021,2,10,189,5
2020-01-13 21:00:00,7,-3,0.0,8.7,1,1,76,09:24 PM,11:15 AM,09:13 AM,06:05 PM,-4,-3,-0,-3,11,1,69,0.0,1021,-2,10,188,5
2020-01-14 00:00:00,8,-1,0.0,8.7,2,1,69,10:42 PM,11:47 AM,09:12 AM,06:06 PM,-6,-2,-1,-2,8,12,66,0.0,1021,-2,10,204,4
2020-01-14 03:00:00,8,-1,0.0,8.7,2,1,69,10:42 PM,11:47 AM,09:12 AM,06:06 PM,-7,-1,-1,-1,7,10,63,0.0,1020,-1,10,204,4
2020-01-14 06:00:00,8,-1,0.0,8.7,2,1,69,10:42 PM,11:47 AM,09:12 AM,06:06 PM,-8,-2,-1,-2,9,33,59,0.0,1020,-1,10,198,4
2020-01-14 09:00:00,8,-1,0.0,8.7,2,2,69,10:42 PM,11:47 AM,09:12 AM,06:06 PM,-7,1,1,1,7,21,52,0.0,1020,1,10,203,4
2020-01-14 12:00:00,8,-1,0.0,8.7,2,3,69,10:42 PM,11:47 AM,09:12 AM,06:06 PM,-4,6,7,6,5,34,47,0.0,1020,7,10,204,4
2020-01-14 15:00:00,8,-1,0.0,8.7,2,3,69,10:42 PM,11:47 AM,09:12 AM,06:06 PM,-2,6,6,6,5,47,60,0.0,1019,6,10,212,3
2020-01-14 18:00:00,8,-1,0.0,8.7,2,2,69,10:42 PM,11:47 AM,09:12 AM,06:06 PM,-3,1,2,1,11,49,68,0.0,1020,2,10,185,5
2020-01-14 21:00:00,8,-1,0.0,8.7,2,1,69,10:42 PM,11:47 AM,09:12 AM,06:06 PM,-5,-1,1,-1,11,30,66,0.0,1021,1,10,184,5
2020-01-15 00:00:00,9,0,0.0,8.7,2,1,61,12:00 AM,12:14 PM,09:12 AM,06:07 PM,-5,-1,1,-1,10,22,65,0.0,1022,1,10,188,5
2020-01-15 03:00:00,9,0,0.0,8.7,2,1,61,12:00 AM,12:14 PM,09:12 AM,06:07 PM,-5,-1,0,-1,9,28,68,0.0,1021,0,10,198,4
2020-01-15 06:00:00,9,0,0.0,8.7,2,1,61,12:00 AM,12:14 PM,09:12 AM,06:07 PM,-4,0,1,0,8,10,71,0.0,1022,1,10,189,4
2020-01-15 09:00:00,9,0,0.0,8.7,2,2,61,12:00 AM,12:14 PM,09:12 AM,06:07 PM,-3,3,3,3,4,5,66,0.0,1023,3,10,226,2
2020-01-15 12:00:00,9,0,0.0,8.7,2,3,61,12:00 AM,12:14 PM,09:12 AM,06:07 PM,-0,6,7,6,5,9,60,0.0,1023,7,10,253,4
2020-01-15 15:00:00,9,0,0.0,8.7,2,3,61,12:00 AM,12:14 PM,09:12 AM,06:07 PM,1,5,7,5,13,9,67,0.0,1023,7,10,237,8
2020-01-15 18:00:00,9,0,0.0,8.7,2,2,61,12:00 AM,12:14 PM,09:12 AM,06:07 PM,-0,1,3,1,16,6,80,0.0,1025,3,10,198,8
2020-01-15 21:00:00,9,0,0.0,8.7,2,1,61,12:00 AM,12:14 PM,09:12 AM,06:07 PM,-2,-1,1,-1,15,8,81,0.0,1027,1,10,174,7
2020-01-16 00:00:00,10,0,0.0,8.7,3,1,54,No moonrise,12:39 PM,09:11 AM,06:09 PM,-3,-2,1,-2,15,33,75,0.0,1029,1,10,171,7
2020-01-16 03:00:00,10,0,0.0,8.7,3,1,54,No moonrise,12:39 PM,09:11 AM,06:09 PM,-4,-0,2,-0,12,46,69,0.0,1029,2,10,170,6
2020-01-16 06:00:00,10,0,0.0,8.7,3,1,54,No moonrise,12:39 PM,09:11 AM,06:09 PM,-4,-0,1,-0,9,29,72,0.0,1029,1,10,157,4
2020-01-16 09:00:00,10,0,0.0,8.7,3,2,54,No moonrise,12:39 PM,09:11 AM,06:09 PM,-2,3,3,3,6,15,71,0.0,1029,3,10,159,3
2020-01-16 12:00:00,10,0,0.0,8.7,3,3,54,No moonrise,12:39 PM,09:11 AM,06:09 PM,2,9,8,9,4,7,64,0.0,1028,8,10,272,3
2020-01-16 15:00:00,10,0,0.0,8.7,3,3,54,No moonrise,12:39 PM,09:11 AM,06:09 PM,4,9,9,9,3,4,72,0.0,1027,9,10,302,3
2020-01-16 18:00:00,10,0,0.0,8.7,3,3,54,No moonrise,12:39 PM,09:11 AM,06:09 PM,3,5,6,5,7,1,84,0.0,1027,6,10,217,4
2020-01-16 21:00:00,10,0,0.0,8.7,3,1,54,No moonrise,12:39 PM,09:11 AM,06:09 PM,1,3,4,3,10,0,85,0.0,1027,4,10,181,5
2020-01-17 00:00:00,10,1,0.0,5.2,3,1,47,01:16 AM,01:04 PM,09:10 AM,06:10 PM,-0,2,3,2,11,0,81,0.0,1027,3,10,189,5
2020-01-17 03:00:00,10,1,0.0,5.2,3,1,47,01:16 AM,01:04 PM,09:10 AM,06:10 PM,-1,1,2,1,10,0,78,0.0,1026,2,10,176,5
2020-01-17 06:00:00,10,1,0.0,5.2,3,1,47,01:16 AM,01:04 PM,09:10 AM,06:10 PM,-3,-0,1,-0,12,1,73,0.0,1025,1,10,166,6
2020-01-17 09:00:00,10,1,0.0,5.2,3,2,47,01:16 AM,01:04 PM,09:10 AM,06:10 PM,-3,2,3,2,8,7,64,0.0,1024,3,10,174,4
2020-01-17 12:00:00,10,1,0.0,5.2,3,3,47,01:16 AM,01:04 PM,09:10 AM,06:10 PM,-1,8,8,8,4,11,55,0.0,1022,8,10,219,4
2020-01-17 15:00:00,10,1,0.0,5.2,3,3,47,01:16 AM,01:04 PM,09:10 AM,06:10 PM,2,7,8,7,6,71,66,0.1,1021,8,10,267,5
2020-01-17 18:00:00,10,1,0.0,5.2,3,1,47,01:16 AM,01:04 PM,09:10 AM,06:10 PM,3,2,5,2,16,100,89,0.2,1023,5,5,251,12
2020-01-17 21:00:00,10,1,0.0,5.2,3,1,47,01:16 AM,01:04 PM,09:10 AM,06:10 PM,3,1,4,1,17,100,93,1.8,1025,4,5,242,13
2020-01-18 00:00:00,5,-2,1.3,8.7,1,1,40,02:31 AM,01:30 PM,09:10 AM,06:11 PM,2,-0,2,-0,12,100,95,2.5,1027,2,4,244,9
2020-01-18 03:00:00,5,-2,1.3,8.7,1,1,40,02:31 AM,01:30 PM,09:10 AM,06:11 PM,1,-0,2,-0,11,86,94,1.1,1028,2,7,240,7
2020-01-18 06:00:00,5,-2,1.3,8.7,1,1,40,02:31 AM,01:30 PM,09:10 AM,06:11 PM,1,1,2,1,8,74,95,0.8,1029,2,7,243,6
2020-01-18 09:00:00,5,-2,1.3,8.7,1,1,40,02:31 AM,01:30 PM,09:10 AM,06:11 PM,1,2,3,2,5,73,90,0.4,1030,3,6,223,4
2020-01-18 12:00:00,5,-2,1.3,8.7,1,1,40,02:31 AM,01:30 PM,09:10 AM,06:11 PM,1,4,5,4,6,30,77,0.0,1029,5,9,254,5
2020-01-18 15:00:00,5,-2,1.3,8.7,1,2,40,02:31 AM,01:30 PM,09:10 AM,06:11 PM,1,5,5,5,4,16,74,0.0,1029,5,10,327,3
2020-01-18 18:00:00,5,-2,1.3,8.7,1,2,40,02:31 AM,01:30 PM,09:10 AM,06:11 PM,-1,2,4,2,5,12,86,0.0,1030,2,10,168,3
2020-01-18 21:00:00,5,-2,1.3,8.7,1,1,40,02:31 AM,01:30 PM,09:10 AM,06:11 PM,-3,-2,-0,-2,7,17,92,0.0,1031,-1,10,85,3
2020-01-19 00:00:00,3,-2,0.1,5.2,2,1,32,03:45 AM,01:58 PM,09:09 AM,06:13 PM,-3,-3,-2,-3,7,18,92,0.0,1031,-2,10,84,4
